06:46.50 | Pair skipped - Invalid dt
06:46.50 | Pair started image030.jpg - image031.jpg
06:46.50 | EXIF time read image030.jpg
06:46.51 | EXIF time read image031.jpg
06:46.59 | Image load success image030.jpg
06:46.68 | Image load success image031.jpg
06:47.78 | Match count 385
06:47.78 | Speed calculated image030.jpg - image031.jpg - 7.9216
06:47.78 | Pair started image030.jpg - image032.jpg
06:47.79 | EXIF time read image030.jpg
06:47.79 | EXIF time read image032.jpg
06:47.79 | Pair skipped - Invalid dt
06:47.79 | Pair started image031.jpg - image032.jpg
06:47.80 | EXIF time read image031.jpg
06:47.80 | EXIF time read image032.jpg
06:47.88 | Image load success image031.jpg
06:47.97 | Image load success image032.jpg
06:49.06 | Match count 238
06:49.06 | Speed rejected - Invalid distance
06:49.06 | Pair started image031.jpg - image033.jpg
06:49.07 | EXIF time read image031.jpg
06:49.07 | EXIF time read image033.jpg
06:49.07 | Pair skipped - Invalid dt
06:49.07 | Pair started image032.jpg - image033.jpg
06:49.08 | EXIF time read image032.jpg
06:49.08 | EXIF time read image033.jpg
06:49.16 | Image load success image032.jpg
06:49.25 | Image load success image033.jpg
06:50.33 | Match count 151
06:50.33 | Speed calculated image032.jpg - image033.jpg - 6.4527
06:50.33 | Pair started image032.jpg - image034.jpg
06:50.33 | EXIF time read image032.jpg
06:50.34 | EXIF time read image034.jpg
06:50.34 | Pair skipped - Invalid dt
06:50.34 | Pair started image033.jpg - image034.jpg
06:50.34 | EXIF time read image033.jpg
06:50.34 | EXIF time read image034.jpg
06:50.43 | Image load success image033.jpg
06:50.52 | Image load success image034.jpg
06:51.59 | Match count 116
06:51.59 | Speed rejected - Invalid distance
06:51.59 | Pair started image033.jpg - image035.jpg
06:51.59 | EXIF time read image033.jpg
06:51.60 | EXIF time read image035.jpg
06:51.60 | Pair skipped - Invalid dt
06:51.60 | Pair started image034.jpg - image035.jpg
06:51.60 | EXIF time read image034.jpg
06:51.60 | EXIF time read image035.jpg
06:51.69 | Image load success image034.jpg
06:51.77 | Image load success image035.jpg
06:52.84 | Match count 80
06:52.85 | Speed calculated image034.jpg - image035.jpg - 9.9751
06:52.85 | Pair started image034.jpg - image036.jpg
06:52.85 | EXIF time read image034.jpg
06:52.85 | EXIF time read image036.jpg
06:52.85 | Pair skipped - Invalid dt
06:52.85 | Pair started image035.jpg - image036.jpg
06:52.86 | EXIF time read image035.jpg
06:52.86 | EXIF time read image036.jpg
06:52.95 | Image load success image035.jpg
06:53.03 | Image load success image036.jpg
06:54.10 | Match count 59
06:54.10 | Speed calculated image035.jpg - image036.jpg - 7.7614
06:54.10 | Pair started image035.jpg - image037.jpg
06:54.10 | EXIF time read image035.jpg
06:54.11 | EXIF time read image037.jpg
06:54.11 | Pair skipped - Invalid dt
06:54.11 | Pair started image036.jpg - image037.jpg
06:54.11 | EXIF time read image036.jpg
06:54.11 | EXIF time read image037.jpg
06:54.20 | Image load success image036.jpg
06:54.28 | Image load success image037.jpg
06:55.35 | Match count 61
06:55.36 | Speed calculated image036.jpg - image037.jpg - 7.6208
06:55.36 | Pair started image036.jpg - image038.jpg
06:55.36 | EXIF time read image036.jpg
06:55.36 | EXIF time read image038.jpg
06:55.36 | Pair skipped - Invalid dt
06:55.36 | Pair started image037.jpg - image038.jpg
06:55.37 | EXIF time read image037.jpg
06:55.37 | EXIF time read image038.jpg
06:55.46 | Image load success image037.jpg
06:55.54 | Image load success image038.jpg
06:56.65 | Match count 61
06:56.65 | Speed calculated image037.jpg - image038.jpg - 7.2834
06:56.65 | Pair started image037.jpg - image039.jpg
06:56.65 | EXIF time read image037.jpg
06:56.65 | EXIF time read image039.jpg
06:56.66 | Pair skipped - Invalid dt
06:56.66 | Pair started image038.jpg - image039.jpg
06:56.66 | EXIF time read image038.jpg
06:56.66 | EXIF time read image039.jpg
06:56.75 | Image load success image038.jpg
06:56.83 | Image load success image039.jpg
06:57.90 | Match count 59
06:57.90 | Speed calculated image038.jpg - image039.jpg - 9.1692
06:57.90 | Pair started image038.jpg - image040.jpg
06:57.90 | EXIF time read image038.jpg
06:57.91 | EXIF time read image040.jpg
06:57.91 | Pair skipped - Invalid dt
06:57.91 | Pair started image039.jpg - image040.jpg
06:57.91 | EXIF time read image039.jpg
06:57.92 | EXIF time read image040.jpg
06:58.00 | Image load success image039.jpg
06:58.08 | Image load success image040.jpg
06:59.15 | Match count 66
06:59.15 | Speed rejected - Invalid distance
06:59.15 | Pair started image039.jpg - image041.jpg
06:59.16 | EXIF time read image039.jpg
06:59.16 | EXIF time read image041.jpg
06:59.16 | Pair skipped - Invalid dt
06:59.16 | Pair started image040.jpg - image041.jpg
06:59.16 | EXIF time read image040.jpg
06:59.17 | EXIF time read image041.jpg
06:59.25 | Image load success image040.jpg
06:59.33 | Image load success image041.jpg
07:00.40 | Match count 69
07:00.40 | Speed rejected - Invalid distance
07:00.40 | Pair started image040.jpg - image042.jpg
07:00.41 | EXIF time read image040.jpg
07:00.41 | EXIF time read image042.jpg
07:00.41 | Pair skipped - Invalid dt
07:00.41 | Pair started image041.jpg - image042.jpg
07:00.41 | EXIF time read image041.jpg
07:00.42 | EXIF time read image042.jpg
07:00.50 | Image load success image041.jpg
07:00.59 | Image load success image042.jpg
07:01.65 | Match count 77
07:01.66 | Speed rejected - Invalid distance
07:01.66 | Pair started image041.jpg - image043.jpg
07:01.66 | EXIF time read image041.jpg
07:01.66 | EXIF time read image043.jpg
07:01.66 | Pair skipped - Invalid dt
07:01.66 | Pair started image042.jpg - image043.jpg
07:01.67 | EXIF time read image042.jpg
07:01.67 | EXIF time read image043.jpg
07:01.75 | Image load success image042.jpg
07:01.84 | Image load success image043.jpg
07:02.91 | Match count 75
07:02.91 | Speed rejected - Invalid distance
07:02.91 | Pair started image042.jpg - image044.jpg
07:02.91 | EXIF time read image042.jpg
07:02.92 | EXIF time read image044.jpg
07:02.92 | Pair skipped - Invalid dt
07:02.92 | Pair started image043.jpg - image044.jpg
07:02.92 | EXIF time read image043.jpg
07:02.92 | EXIF time read image044.jpg
07:03.01 | Image load success image043.jpg
07:03.09 | Image load success image044.jpg
07:04.17 | Match count 68
07:04.17 | Speed calculated image043.jpg - image044.jpg - 6.9942
07:04.17 | Pair started image043.jpg - image045.jpg
07:04.17 | EXIF time read image043.jpg
07:04.17 | EXIF time read image045.jpg
07:04.17 | Pair skipped - Invalid dt
07:04.17 | Pair started image044.jpg - image045.jpg
07:04.18 | EXIF time read image044.jpg
07:04.18 | EXIF time read image045.jpg
07:04.26 | Image load success image044.jpg
07:04.35 | Image load success image045.jpg
07:05.42 | Match count 49
07:05.42 | Speed rejected - Invalid distance
07:05.42 | Pair started image044.jpg - image046.jpg
07:05.42 | EXIF time read image044.jpg
07:05.43 | EXIF time read image046.jpg
07:05.43 | Pair skipped - Invalid dt
07:05.43 | Pair started image045.jpg - image046.jpg
07:05.43 | EXIF time read image045.jpg
07:05.43 | EXIF time read image046.jpg
07:05.52 | Image load success image045.jpg
07:05.60 | Image load success image046.jpg
07:06.67 | Match count 40
07:06.67 | Speed rejected - Invalid distance
07:06.68 | Pair started image045.jpg - image047.jpg
07:06.68 | EXIF time read image045.jpg
07:06.68 | EXIF time read image047.jpg
07:06.68 | Pair skipped - Invalid dt
07:06.68 | Pair started image046.jpg - image047.jpg
07:06.69 | EXIF time read image046.jpg
07:06.69 | EXIF time read image047.jpg
07:06.77 | Image load success image046.jpg
07:06.86 | Image load success image047.jpg
07:07.93 | Match count 40
07:07.93 | Speed rejected - Invalid distance
07:07.93 | Pair started image046.jpg - image048.jpg
07:07.93 | EXIF time read image046.jpg
07:07.94 | EXIF time read image048.jpg
07:07.94 | Pair skipped - Invalid dt
07:07.94 | Pair started image047.jpg - image048.jpg
07:07.94 | EXIF time read image047.jpg
07:07.94 | EXIF time read image048.jpg
07:08.03 | Image load success image047.jpg
07:08.11 | Image load success image048.jpg
07:09.18 | Match count 41
07:09.19 | Speed rejected - Invalid distance
07:09.19 | Pair started image047.jpg - image049.jpg
07:09.19 | EXIF time read image047.jpg
07:09.19 | EXIF time read image049.jpg
07:09.19 | Pair skipped - Invalid dt
07:09.19 | Pair started image048.jpg - image049.jpg
07:09.20 | EXIF time read image048.jpg
07:09.20 | EXIF time read image049.jpg
07:09.28 | Image load success image048.jpg
07:09.36 | Image load success image049.jpg
07:10.44 | Match count 40
07:10.44 | Speed calculated image048.jpg - image049.jpg - 7.8423
07:10.44 | Pair started image048.jpg - image050.jpg
07:10.45 | EXIF time read image048.jpg
07:10.45 | EXIF time read image050.jpg
07:10.45 | Pair skipped - Invalid dt
07:10.45 | Pair started image049.jpg - image050.jpg
07:10.45 | EXIF time read image049.jpg
07:10.46 | EXIF time read image050.jpg
07:10.54 | Image load success image049.jpg
07:10.62 | Image load success image050.jpg
07:11.70 | Match count 44
07:11.70 | Speed calculated image049.jpg - image050.jpg - 8.1722
07:11.70 | Pair started image049.jpg - image051.jpg
07:11.70 | EXIF time read image049.jpg
07:11.70 | EXIF time read image051.jpg
07:11.70 | Pair skipped - Invalid dt
07:11.70 | Pair started image050.jpg - image051.jpg
07:11.71 | EXIF time read image050.jpg
07:11.71 | EXIF time read image051.jpg
07:11.79 | Image load success image050.jpg
07:11.87 | Image load success image051.jpg
07:12.95 | Match count 55
07:12.95 | Speed calculated image050.jpg - image051.jpg - 7.7664
07:12.95 | Pair started image050.jpg - image052.jpg
07:12.96 | EXIF time read image050.jpg
07:12.96 | EXIF time read image052.jpg
07:12.96 | Pair skipped - Invalid dt
07:12.96 | Pair started image051.jpg - image052.jpg
07:12.96 | EXIF time read image051.jpg
07:12.97 | EXIF time read image052.jpg
07:13.05 | Image load success image051.jpg
07:13.13 | Image load success image052.jpg
07:14.20 | Match count 56
07:14.20 | Speed calculated image051.jpg - image052.jpg - 7.7686
07:14.20 | Pair started image051.jpg - image053.jpg
07:14.21 | EXIF time read image051.jpg
07:14.21 | EXIF time read image053.jpg
07:14.21 | Pair skipped - Invalid dt
07:14.21 | Pair started image052.jpg - image053.jpg
07:14.21 | EXIF time read image052.jpg
